,ERR2731369
IRF3,78.3848112777978
BRWD1,9.249075846406146
THAP8,16.674017232642356
TMEM91,21.271238138645053
PRAMEF1,0.0
LINC01784,0.0
MFSD11,24.571129374154797
AFF2,0.953462513758495
SS18L1,17.68515071259581
PRAMEF36P,0.0
PRAMEF34P,0.0
NFKB2,62.947146604154575
TBC1D3E,0.0
MAGEA4,0.0
POLD2,60.486123423780725
ZNF562,4.997010066051282
MTHFD1L,31.944121795355173
GLMN,13.702510473381318
C15orf40,4.778859809897529
CYB5D1,20.567287913851747
DENND3,5.886521604112708
ZNF628,9.564479037828345
RRP36,82.5382369359743
OR52R1,0.0
PTPRR,0.05136599253942054
OR52K2,0.0
MTMR9,4.443326999625851
FXYD6,26.846073762788382
C1orf195,0.472259935579749
SLC5A11,0.0
PRMT7,24.05413579624234
HSPA12A,8.072429927548347
RIMS2,0.0
DNAJC16,14.123413580670258
SCARNA21B,0.0
CBFB,83.65059341847936
CCL4L2,0.041103364445205126
ZNF532,39.56718088841603
ZNF333,7.348928846930079
CNTN6,0.0
FLJ37453,4.391510338003292
ZEB1,40.11984354006434
KLRD1,0.3030740072057865
KLRC3,0.0
DTNA,7.074725202820544
ABLIM1,169.88967491349317
PAN3,39.004158479824824
IP6K2,72.98959274127641
ZNF200,8.188135274852339
FCMR,1.261433242316864
MYO19,9.543139358453717
ATP6V0A1,45.856375399046215
PACC1,18.121477265609986
TPTE2,0.1177374804722051
RCN2,50.16808059287382
CAPZA3,0.0
SOX6,0.20185567839998386
SMDT1,7.110840494492596
CHURC1,67.66662702765692
C22orf23,9.649671000654083
KIF2B,0.0
ASH1L,19.39320874690227
ZNF561,25.446619682576014
C1orf158,0.4446098495646983
PKIB,0.2820223369450494
SREK1,33.54680533331432
PET100,92.59221536432632
SPATA21,0.0892156840992747
TAFA4,0.0
ZSWIM2,0.0
ZNF454,0.9903684399053654
NECAP2,110.73742808525151
LINC01772,3.453100613713622
CROCCP3,6.1146869825964645
LINC01783,0.0
ADAMTS4,7.154373335221329
IMPA1,17.8630341401579
IFI27,64.98425967726381
CROCCP2,34.30819039089408
MST1P2,9.231702344663063
ESPNP,0.0
DOCK5,14.419817499057045
